,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
secretmessage_apotheosis_divineorb_desc,Secrets of otherworldly royalty have been unlocked to you.,Вам стали открыты секреты потусторонней королевской власти.,,,,,,,超凡脱俗的皇家秘密已然向你开放。,異界の力が解き放たれた。,,,,
secretmessage_apotheosis_kingly_alreadydone,You feel the secrets of otherworldly royalty have already been unleashed...,"Вы чувствуете, что секреты потусторонней королевской власти уже раскрыты...",,,,,,,你感觉到超凡脱俗的皇家秘密已经解开过了...,異界の力はすでに解き放たれている。,,,,
secretmessage_apotheosis_kingly_cheater,You feel the magic is incomplete...,"Вы чувствуете, что волшебство не завершено...",,,,,,,你感觉魔法还不完整...,この力はまだ完成されていない？,,,,
secretmessage_apotheosis_capeget_name,You feel more.. pretty..?,Вы чувствуете себя более.. симпатичными..?,,,,,,,你感觉自己更加..美丽..？,なんだか自分が……可愛くなった？。,,,,
secretmessage_apotheosis_capeget_desc,Truly befitting.,Очень удовлетворительно.,,,,,,,它的确非常适合你。,とても似合っている気がする。,,,,
secretmessage_apotheosis_divineorb_heart_name,You found a familiar orb of divine knowledge,Вы нашли знакомый шар божественных знаний,,,,,,,你发现了一个熟悉的神圣知识球体,神聖な智慧のオーブを拾った,,,,
book_apotheosis_symbol_centipede_blood,Tuhatjalkainen Veri,Тухатьялкайнен Вери,,,,,,,蜈蚣之血,,,,,
book_apotheosis_symbol_centipede_blood_description,"Half a circle, and a spine connected to it. \nThree legs on each side, and the centipede's inner liquid is born.","Половина круга, и к нему присоединяется позвоночник. \nТри ноги с каждой стороны, и рождается внутренняя жидкость сороконожки.",,,,,,,半圆和脊柱相连。\n每侧 3 条腿，蜈蚣内部的液体就诞生了。,,,,,
book_apotheosis_symbol_redsand,Punainen Hiekka,Пунайнен Хиекка,,,,,,,红砂,,,,,
book_apotheosis_symbol_redsand_description,"Three lines. One Horizonal, two more starting at the edges of the first line which converge upwards to touch each other at their ends. \nWithin this new shape, circles lay. \none. two. and three. \nThese three circles represent the specks of dust, and thus a blazing red powder is born.","Три линии. Одна горизонтальная, две другие, начинающиеся от краёв первой линии, которые сходятся вверх и касаются друг друга своими концами. \nВ этой новой форме лежат круги. \nОдин. два. и три. \nЭти три круга представляют собой пылинки, и таким образом рождается пылающий красный порошок.",,,,,,,三条线。一条水平，另外两条线始于第一条线的端点，向上延伸，相交处为终点。\n在这个新的形状中画几个圆。\n一、二、三\n这三个圆代表尘埃，于是炙热的红色粉末就此诞生了。,,,,,
book_apotheosis_symbol_insecthusk,Hyönteisten Kuori,Хьонтейстен Куори,,,,,,,虫壳,,,,,
book_apotheosis_symbol_insecthusk_description,"One triangle, and another below facing the other way. \nDraw a line to connect these two formations. \nStart from the center of the first, and draw down until it pierces through the second triangle. \nFrom this new symbol, the husk of insects is born.","Один треугольник, а другой внизу обращён в другую сторону. \nНарисуйте линию, соединяющую эти два образования. \nНачните с центра первого треугольника и проведите линию вниз, пока она не пронзит второй треугольник. \nИз этого нового символа рождается шелуха насекомых.",,,,,,,一个三角形，下面的另一个三角形朝向另一边。\n画一条线连接这两个三角形。\n从第一个三角形的中心开始向下画，直到它完全穿透第二个三角形。\n虫壳将从这个新符号诞生。,,,,,
book_apotheosis_symbol_divineliquid,Jumalallinen Neste,Джумалаллинен Несте,,,,,,,神圣液体,,,,,
book_apotheosis_symbol_divineliquid_description,"Place down your brush, and draw nothing less than a perfect circle. \n \nWithin this circle, draw the four elements. \nOne line for Fire \nOne for Water \nOne for Earth \nand One for Air. \n \nWhere the elements converge, make another perfect circle, fill it in with purpose. \nWith this, a divine drink is born.","Положите кисть и нарисуйте не менее чем идеальный круг. \n \nВ этом круге нарисуйте четыре элемента. \nОдна линия для огня \nОдна для воды \nОдна для земли \nи одна для воздуха. \n \nТам, где элементы сходятся, сделайте ещё один идеальный круг, заполните его. \nПосле этого рождается божественный напиток.",,,,,,,落下你的画笔，画一个完美的圆。 \n \n在这个圆上，画出四元素。\n一条线代表火\n一条线代表水\n一条线代表土\n一条线代表气。\n \n在元素汇聚之处，画另一个完美的圆，填满它。\n做完这些，一种神圣的饮品就诞生了。,,,,,
book_apotheosis_symbol_pinksand,Vaaleanpunainen Hiekka,Ваалеанпунайнен Хиекка,,,,,,,粉砂,,,,,
book_apotheosis_symbol_pinksand_description,"A triangle. Within this, create a line piercing through it's purpose. \nInside this triangle near it's peak, a circle sits. \nThe circle is pierced by the line, and is ready to change shape. \nWith this symbol, the pinkest sand will be born.","Треугольник. Внутри него проведите линию, пронизывающую его насквозь. \nВнутри этого треугольника, около его вершины, сидит круг. \nКруг пронзён линией и готов изменить форму. \nС этим символом родится самый розовый песок.",,,,,,,一个三角形。在三角形内，画出一条线穿透它。\n在这个三角形的内部，靠近顶点的地方，有一个圆。\n这个圆被线穿透，准备改变形状。\n有了这个符号，最粉的砂就诞生了。,,,,,
book_apotheosis_symbol_fungus,Sieni,Сиени,,,,,,,真菌,,,,,
book_apotheosis_symbol_fungus_description,"Two circles, these are specks of dust. \nBetween these specks, draw a line moving upwards. \nWhere the line stops draw two more moving towards the circles. \nConnect the ends of those lines together with one final line, and a fungal infection is born.","Два круга - это пылинки. \nМежду ними проведите линию, двигающуюся вверх. \nВ месте остановки линии нарисуйте ещё две, двигаясь по направлению к кругам. \nСоедините концы этих линий вместе последней линией, и таким образом родится грибковая инфекция.",,,,,,,两个圆，象征着尘埃。\n在这些尘埃中间画一条向上的线。\n在这条线停止的地方，再向圆的方向画两条线\n把这两条线的末端用线相连，这样一个真菌感染就诞生了。,,,,,
book_apotheosis_fire_lukki,Scorched Notes,Опалённые записки,,,,,,,烧焦的笔记,,,,,
book_apotheosis_fire_lukki_description,"I remember finding a stone, blazing with fire but nothing more than a gentle touch in my hand. \nIt belonged to those fire cretins who hunted me I bet. \n \nWanting to get back at them I threw the stone into the deepest body of lava I could find in those wretched mines.. \nBut that was my fatal mistake. \n \nThe stone seemed to attract... something. \nI dared not look back after hearing the lava stir violently behind me, I feel lucky to be alive. \n \nMy robes were scorched by it's mere presence. \nMy pride reduced to burn marks of what it once was. \nI hope I need never return to that place.","Я помню, как нашёл камень, пылающий огнём, но не более чем легкое прикосновение моей руки. \nНаверняка он принадлежал тем огненным кретинам, которые охотились на меня. \n \nЖелая отомстить им, я бросил камень в самую глубокую лаву, которую смог найти в этих жалких шахтах. \nНо это была моя роковая ошибка. \n \n Камень, казалось, притягивал... что-то. \nЯ не смел оглянуться, когда услышал, как за спиной яростно зашипела лава. Мне повезло, что я остался жив. \n \nМоя одежда опалилась от одного его присутствия. \nМоя гордость превратилась в ожоги от того, чем она когда-то была. \nНадеюсь, я никогда не вернусь в это место.",,,,,,,我记得我找到过一块石头，燃烧着熊熊烈火，但拿在手里却只能感到宜人的温暖。\n我敢打赌，它是那些追杀我的火焰鳖孙的。\n \n为了报复它们，我把石头扔进了那个晦气矿井旁的岩浆最深处。\n但这是我犯下的天大的错误。\n \n石头似乎吸引了......什么东西。\n听到身后岩浆剧烈翻滚的声音后，我头都不敢回的逃跑了，我为自己还活着感到庆幸。\n \n我的长袍被那个东西烧焦了，我的自尊心也被灼烧殆尽。\n我再也不想回到那个地方了。,,,,,
status_apotheosis_plagiarize_swapper_name,Curse of Swapping,Проклятие подмены,,,,,,,交换诅咒,スワッパーの呪い,,,,
status_apotheosis_plagiarize_swapper_desc,Taking damage makes you swap places with the attacker.,При получении урона вы меняетесь местами с атакующим.,,,,,,,受到伤害会使你与攻击者交换位置。,ダメージを受けると、攻撃してきた敵の位置にワープする。,,,,
status_apotheosis_delusional_name,Delusional,Галлюцинации,,,,,,,妄想,幻覚,,,,
status_apotheosis_delusional_desc,Your senses deceive you.,Ваши чувства обманывают вас.,,,,,,,你的感官在欺骗你。,自分の感覚がアテにならない。,,,,
status_apotheosis_creatureshift_cd_name,Unshiftable,Несдвигаемый,,,,,,,无法转换,きのこシフト無効化,,,,
status_apotheosis_creatureshift_cd_desc,The path of evolution is set in stone... For now.,Путь эволюции предначертан... Пока что.,,,,,,,生命的法则十分稳定...目前是这样。,進化の流れが足を止めた……今は。,,,,
perk_apotheosis_revenge_reflective,Revenge Reflection,Отражение мести,,,,,,,复仇反射,反射,,,,
perk_apotheosis_revenge_reflective_description,"Reflect copies of enemy projectiles upon taking damage, with a steep damage boost as payback.",Отражение копий вражеских снарядов при получении урона с резким увеличением урона в качестве расплаты.,,,,,,,被敌人的投射物击中时会以其复制品予以回击，并且复制品拥有极高的伤害加成。,敵の放射物を反射する。反射した放射物は威力が上がる。,,,,
biomemod_apotheosis_smoke_dense,The air feels unusually dense,Воздух кажется необычайно плотным,,,,,,,空气感觉异常地稠密,空気がとても重い。,,,,
credits_apotheosis_line_01,a mod made by,"мод, созданный",,,,,,,,,,,,
credits_apotheosis_line_04,Lead Developer of Apotheosis,Главный разработчик Apotheosis,,,,,,,,,,,,
credits_apotheosis_line_07,Voice Actor of the Cats,Актёр озвучивания кошек,,,,,,,,,,,,
credits_apotheosis_line_14,Creator of the Mana Drain Script,Создатель скрипта расхода маны,,,,,,,,,,,,
credits_apotheosis_line_17,Russian Translator,Перевод на русский,,,,,,,,,,,,
credits_apotheosis_line_20,"Helped with some creature design & mod direction, also helped with alt-fire spells.","Помогал с дизайном существ и направлением мода, также помогал с заклинаниями на ПКМ.",,,,,,,,,,,,
credits_apotheosis_line_22,Special Thanks to,Особая благодарность,,,,,,,,,,,,
credits_apotheosis_line_39,And many modders of the Noita Discord,И многим создателям модов из Discord-сервера Noita,,,,,,,,,,,,
credits_apotheosis_line_43,"And finally.. you, for giving Apotheosis a try and making it this far into the mod!","И наконец.. вам, за то, что попробовали Apotheosis и зашли так далеко в этом моде!",,,,,,,,,,,,
credits_apotheosis_line_44,I hope you enjoyed playing it as much as I enjoyed making it <3,"Надеюсь, вам понравилось играть в него так же, как мне понравилось его создавать <3",,,,,,,,,,,,
credits_apotheosis_line_45,Best of luck in your future adventures - Conga Lyne,Желаю удачи в ваших будущих приключениях - Conga Lyne,,,,,,,,,,,,
credits_apotheosis_line_horscht,Provided a ton of help in the mod support channel during development and let me use his credits script.,Оказал тонну помощи в канале поддержки мода во время разработки и позволил мне использовать его скрипт для этого меню.,,,,,,,,,,,,
Apotheosis content below,#ERROR!,#ERROR!,,,,,,,,,,,,
teleport_portal_alternate,Portal Elsewhere,Портал в другое место,,,,,,,通向别处的传送门,彼方へのポータル,,,,
teleport_portal_moon,Portal to the Moon,Портал на Луну,,,,,,,通向月球的传送门,月への扉,,,,
teleport_portal_sun,Portal to the Sun,Портал на Солнце,,,,,,,通向太阳的传送门,太陽への扉,,,,
teleport_portal_up,Portal Higher,Портал выше,,,,,,,通向上一层的传送门,上層へのポータル,,,,
biome_slime_hell,Virulent Caverns,Ядовитые пещеры,,,,,,,毒性洞穴,猛毒洞窟,,,,
biome_slime_hell_outpost,Contaminated Outpost,Заражённый аванпост,,,,,,,污染哨站,汚れた兵営,,,,
biome_toxic_worm_cave,Toxic Nest,Токсичное гнездо,,,,,,,剧毒巢穴,毒虫の巣穴,,,,
biome_abandoned_assembly,Sandy Assembly,Песчаные пустоши,,,,,,,沙地朝会,砂の遺跡,,,,
biome_esoteric_den,Abyssum,Бездна,,,,,,,深渊,アビス,,,,
biome_underground_forest,Subterrain Woodland,Подземный лес,,,,,,,地下林地,地底の森林,,,,
biome_evil_temple,Temple of Sacrilegious Remains,Храм кощунственных останков,,,,,,,亵渎骸骨神庙,冒涜的な祭壇の跡地,,,,
biome_desert_pit,Sinkhole,Воронка,,,,,,,落沙洞穴,砂漠の大穴,,,,
biome_lava_excavation,Core Mines,Сердце шахт,,,,,,,核心矿场,地底鉱山,,,,
biome_abyssal_depths,Forgotten Depths,Забытые глубины,,,,,,,遗忘深渊,忘れられた空間,,,,
biome_mueseum,Marble Halls,Мраморные залы,,,,,,,大理石厅堂,大理石の大部屋,,,,
biome_ant_hell,Ant Nest,Муравьиное гнездо,,,,,,,蚁巢,アリの巣,,,,
biome_plane_yggdrasil,Plane of Yggdrasil,Мир Иггдрасиля,,,,,,,世界树位面,世界樹の大地,,,,
biome_plane_yggdrasil_border,Outer Plane of Yggdrasil,Окраины Иггдрасиля,,,,,,,世界树外平台,世界樹の大地との境界,,,,
biome_plane_magic,Plane of Soul,Мир Душ,,,,,,,灵魂位面,魂の在処,,,,
biome_plane_technology,Plane of Experimentation,Лаборатория,,,,,,,实验位面,実験者の住処,,,,
biome_empyrean,Empyrean,Небесный свод,,,,,,,天界,天界,,,,
biome_challenge_zone,Sealed Library,Запечатанная библиотека,,,,,,,禁闭图书馆,閉ざされた書庫,,,,
biome_surface,The Surface,Поверхность,,,,,,,地表,地上,,,,
biome_jungle_fleshy,The Red Jungle,Красные джунгли,,,,,,,血红丛林,赤い密林,,,,
biomemod_esoteric_presence,You feel an indescribable aura...,Вы чувствуете неописуемую ауру...,,,,,,,你感到一股难以形容的气场...,言葉に表せないような力を感じる,,,,
biomemod_magmatic,The air is burning,Воздух горит,,,,,,,空气炎热无比,空気が燃えるように熱い,,,,
biomemod_necromancy,The Dead are Restless,Мертвые неспокойны,,,,,,,死者永不安息,死霊が騒ぐ声が聞こえる,,,,
biomemod_esoteric_den,You feel the world has indescribable shapes...,"Вы чувствуете, что мир имеет неописуемые формы...",,,,,,,你感到世界的形态难以形容,眼前に奇妙な世界が広がる,,,,
biomemod_alchemic,You feel an alchemical mist in the air,Вы чувствуете алхимический туман в воздухе,,,,,,,空气中有一层炼金术的薄雾,魔法の霧が辺りを覆っている,,,,
biomemod_plane_yggdrasil,"A dense jungle with endless life, filled with monsters foreign","Густые джунгли с бесконечной жизнью, наполненные чужеродными монстрами",,,,,,,拥有无尽生命的茂密丛林，充斥着外来的怪物,深林には異界の生物が暮らしている,,,,
biomemod_plane_magic,"Your soul feels heavy, wild magic is in the air","Ваша душа чувствует тяжесть, в воздухе витает дикая магия",,,,,,,你的灵魂感受到沉重而疯狂的魔法气息,むき出しの魔力があなたの魂にのしかかる,,,,
biomemod_plane_mechanical,"A scorched wasteland, unfit for biological life","Выжженная пустошь, непригодная для биологической жизни",,,,,,,一片焦土荒原，不适合生物生存,生命の息吹を感じられない,,,,
biomemod_slime_hell,You feel strangely warm,Вы чувствуете странное тепло,,,,,,,你感到一种奇怪的温暖,奇妙な温もりを感じる,,,,
biomemod_heretical,You feel a malicious presence,Вы чувствуете злобное присутствие,,,,,,,你感觉到这里有一个恶意的存在,,,,,
material_apotheosis_bloodystone,Bloody Stonework,Кровавая каменная кладка,,,,,,,血腥石雕,血染めの石細工,,,,
material_apotheosis_sandystone,Sandy Stonework,Песчаная каменная кладка,,,,,,,沙质石雕,砂質の石積み,,,,
material_apotheosis_corruptflesh,Vacillating Flesh,Колеблющаяся плоть,,,,,,,摆动血肉,揺らぐ肉,,,,
material_apotheosis_blood_infectous,Infectious Blood,Заразная кровь,,,,,,,感染的血,汚染された血,,,,
material_apotheosis_volcanicrock_static_dense,Dense Volcanic Rock,Плотная вулканическая порода,,,,,,,致密火山岩,非常に硬い火山岩,,,,
material_apotheosis_volcanicrock_superhot,Burning Rock,Горящая порода,,,,,,,燃烧岩石,焼け石,,,,
material_apotheosis_cursed_liquid,Cursed Liquid,Проклятая жидкость,,,,,,,诅咒液体,呪われた液体,,,,
material_apotheosis_magic_liquid_infinite_flight,Soarium,Соариум,,,,,,,翱翔魔药,飛行の魔薬,,,,
material_apotheosis_magic_liquid_infinite_flight_gas,Soarium Gas,Газ соариума,,,,,,,翱翔魔药气体,飛行のガス,,,,
material_apotheosis_magic_liquid_nukes,Nukium,Нукиум,,,,,,,核变魔药,核爆弾の魔薬,,,,
material_apotheosis_magic_liquid_nukes_gas,Nukium Gas,Газ нукиума,,,,,,,核变魔药,核爆弾のガス,,,,
material_apotheosis_magic_liquid_escapium,Escium,Эсциум,,,,,,,逃生魔药,逃亡の魔薬,,,,
material_apotheosis_magic_liquid_escapium_gas,Escium Gas,Газ эсциума,,,,,,,逃生魔药气体,逃亡のガス,,,,
material_apotheosis_magic_liquid_attunium,Attunium,Аттуниум,,,,,,,校准魔药,調律の魔薬,,,,
material_apotheosis_magic_liquid_attunium_gas,Attunium Gas,Газ аттуниума,,,,,,,校准魔药气体,調律のガス,,,,
material_apotheosis_magic_liquid_attunium_cloud,Attunium Mist,Туман аттуниума,,,,,,,校准魔药雾,調律の魔薬のミスト,,,,
material_apotheosis_magic_liquid_pure_light,Pure Light,Чистый свет,,,,,,,纯粹光芒,液化した光,,,,
material_apotheosis_magic_liquid_pure_light_cloud,Pure Light Mist,Туман чистого света,,,,,,,纯粹光雾,液化した光のミスト,,,,
material_apotheosis_magic_liquid_suffocatium,Suffocatium,Удушатиум,,,,,,,窒息魔药,窒息の魔薬,,,,
material_apotheosis_magic_liquid_velocium,Veloium,Велоиум,,,,,,,速度魔药,速度の魔薬,,,,
material_apotheosis_magic_liquid_velocium_gas,Veloium Gas,Газ велоиума,,,,,,,速度魔药气体,速度のガス,,,,
material_apotheosis_magic_liquid_mimic,Mimicium,Мимикиум,,,,,,,拟态液,ミミックの魔薬,,,,
material_apotheosis_magic_liquid_rideshare,Portalium,Порталиум,,,,,,,传送门魔药,ポータルの魔薬,,,,
material_apotheosis_magic_liquid_rideshare_gas,Portalium Gas,Газ порталиума,,,,,,,传送门魔药气体,ポータルの魔薬,,,,
material_apotheosis_magic_liquid_moon_portal,Solunarium,Солунариум,,,,,,,探月魔药,宇宙魔薬,,,,
material_apotheosis_hidden_liquid_magic_catalyst,Magic Catalyst,Магический катализатор,,,,,,,魔法催发体,魔法の結晶体,,,,
material_apotheosis_hidden_liquid_wand_essence,Magus Elixir,Эликсир мага,,,,,,,巫师秘药,エリクサー,,,,
material_apotheosis_sunkenrock,Sunken Rock,Затонувшая порода,,,,,,,水底岩石,水底の岩,,,,
material_apotheosis_sunkenrock_sandy,Sandy Rock,Песчаная порода,,,,,,,砂质岩石,砂状の岩,,,,
material_apotheosis_ambrosia_dull,Infected Ambrosia,Заражённая амброзия,,,,,,,被污染的神佑魔药,汚染されたアンブロシア,,,,
material_apotheosis_meat_slime_blue,Blue Slimy Meat,Синее слизистое мясо,,,,,,,蓝色发粘的肉,青いスライムの肉,,,,
material_apotheosis_meat_homing,Writhing Meat,Корчащееся мясо,,,,,,,蠕动的肉,苦悶の肉,,,,
material_apotheosis_malicious_powder,Volcanic Powder,Вулканический порошок,,,,,,,火山粉末,恐ろしい粉末,,,,
material_apotheosis_milk,Milk,Молоко,,,,,,,牛奶,ミルク,,,,
material_apotheosis_milk_polymorph,Pilk,Полоко,,,,,,,变形牛奶,多形性型ミルク,,,,
material_apotheosis_unholy_concoction,Unholy Concoction,Нечестивое варево,,,,,,,邪恶混合物,邪悪な調合薬,,,,
material_apotheosis_esoteric_stone,Esoteric Stone,Эзотерический камень,,,,,,,神秘石头,深遠な力のこもった石,,,,
material_apotheosis_esoteric_stone_glowing,Luminescent Rock,Светящаяся порода,,,,,,,发光岩石,謎の光を放つ石,,,,
material_apotheosis_crystal_glow,Glowing Crystal,Светящийся кристалл,,,,,,,发光水晶,光るクリスタル,,,,
material_apotheosis_cursed_rock_hard,Sacred Rock,Священная порода,,,,,,,神圣岩石,聖なる岩,,,,
material_apotheosis_radioactive_liquid_strong,Noxious Sludge,Ядовитая жижа,,,,,,,剧毒淤泥,激毒ヘドロ,,,,
material_apotheosis_radioactive_mud,Defiled Mud,Осквернённый ил,,,,,,,玷污泥土,汚染された泥,,,,
material_apotheosis_milk_powder,Powdered Milk,Сухое молоко,,,,,,,奶粉,粉ミルク,,,,
material_apotheosis_meat_vulnerable_protection,Ancient Meat,Древнее мясо,,,,,,,古老的肉,古代の肉,,,,
material_apotheosis_meat_worm_strong,Worm Plating,Червячная пластина,,,,,,,蠕虫表皮,ウォームメッキ,,,,
magic_liquid_berserk_cloud_name,Berserkium Mist,Туман берсеркиума,,,,,,,狂暴魔药雾,バーサキアムのミスト,,,,
magic_liquid_charm_cloud_name,Pheromone Mist,Туман феромонов,,,,,,,魅惑魔药雾,フェロモンのミスト,,,,
spell_apotheosis_spells_to_cursor_name,Redirect,Перенаправление,,,,,,,重新导向,繰気弾,,,,
spell_apotheosis_spells_to_cursor_desc,Redirects all airborne projectiles towards your mouse cursor at a high speed,Перенаправляет все снаряды в воздухе к курсору мыши на высокой скорости,,,,,,,令空中的所有投射物快速飞向你的瞄准位置。,空中にある全ての放射物をマウスカーソルのある方向に飛ばす。,,,,
spell_apotheosis_status_drunk_intense_name,Intense Mass Drunk,Intense Mass Drunk,,,,,,,,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_status_drunk_intense_desc,Affects every creature in a large radius a short but intense curse of endless spirits.,Affects every creature in a large radius a short but intense curse of endless spirits.,,,,,,,,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_status_wet_intense_name,Intense Mass Wet,Intense Mass Wet,,,,,,,,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_status_wet_intense_desc,Soaks every creature in a large radius with a short but intense curse of magical wetness.,Soaks every creature in a large radius with a short but intense curse of magical wetness.,,,,,,,,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_status_fire_intense_name,Intense Mass Fire,Intense Mass Fire,,,,,,,,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_status_fire_intense_desc,Burns every creature in a large radius with a dying but more damaging magical fire.,Burns every creature in a large radius with a dying but more damaging magical fire.,,,,,,,,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_status_urine_intense_name,Intense Mass Jarate,Intense Mass Jarate,,,,,,,,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_status_urine_intense_desc,Douses every creature in a large radius with a short but intense curse of magical jarate.,Douses every creature in a large radius with a short but intense curse of magical jarate.,,,,,,,,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_status_polymorph_intense_name,Mass Chaotic Polymorph,Массовый хаотичный полиморфизм,,,,,,,群体混乱变形,カオス変身フィールド,,,,
spell_apotheosis_status_polymorph_intense_desc,Afflicts every creature in a large radius with a magical chaotic polymorphine,Поражает всех существ в большом радиусе волшебным хаотичным полиморфином,,,,,,,用混乱变形魔法影响大范围内的所有生物,周囲の生物を別の生物に変身させる。,,,,
spell_apotheosis_mass_burrow_name,Kaivossade,Шахтный ливень,,,,,,,清除地形,Kaivossade,,,,
spell_apotheosis_mass_burrow_desc,Rapidly excavate a large amount of terrain,Быстро раскапывает большой участок земли,,,,,,,快速清除大量地形,広範囲の地形を破壊する。,,,,
spell_apotheosis_status_dry_name,Mass Infiltration,Массовая инфильтрация,,,,,,,群体渗透,浸潤フィールド,,,,
spell_apotheosis_status_dry_desc,Freezes the stains on every creature in a large radius with a magical spell,Замораживает пятна на всех существах в большом радиусе с помощью волшебного заклинания,,,,,,,固定大范围内所有生物身上的沾湿效果,周囲の生物の濡れ状態を現在の状態で固定する。,,,,
spell_apotheosis_autofire_name,Auto-Fire,Автоматический огонь,,,,,,,自动施法,Aimbot,,,,
spell_apotheosis_autofire_desc,Causes the wand to automatically shoot if there's nearby enemies,"Заставляет жезл автоматически стрелять, если рядом есть враги",,,,,,,令魔杖在附近有敌人时自动施法,杖が近くの生物を自動で攻撃する。,,,,
spell_apotheosis_upgrade_alwayscast_name,Spell Infusion,Вливание заклинания,,,,,,,法术注入,常時詠唱化,,,,
spell_apotheosis_upgrade_alwayscast_desc,The first spell slotted in your wand will be applied to the wand as an always cast. Spell is voided upon use!,Первое заклинание в вашем жезле будет применено к жезлу как постоянное. Заклинание аннулируется после использования!,,,,,,,将魔杖中第一个法术注入魔杖，使其成为始终施放。此法术在使用后消失。,1番目のスロットにセットされた魔法が常時詠唱になる。このスペル自身は1度使うと消滅する。,,,,
spell_apotheosis_alt_fire_swapper_name,Alt Fire Swapper Bolt,Молния подмены (альт. огонь),,,,,,,副法术 - 交换者,スワッパーボルト(ALT),,,,
spell_apotheosis_alt_fire_swapper_desc,Right Click to fire a projectile that swaps your position with the target's,"Щёлкните правой кнопкой мыши, чтобы выпустить снаряд, который меняет ваше положение с целью",,,,,,,(右键施放)令被投射物击中的目标与你的位置交换,右クリックするとスワッパーボルトを発射する。,,,,
spell_apotheosis_alt_fire_cov_name,Alt Fire Circle of Vigour,Круг силы (альт. огонь),,,,,,,副法术 - 活力之环,気力の輪(ALT),,,,
spell_apotheosis_alt_fire_cov_desc,Right Click to cast a field of regenerative magic,"Щёлкните правой кнопкой мыши, чтобы создать поле восстанавливающей магии",,,,,,,(右键施放)再生魔法的领域,右クリックすると気力の輪を発射する。,,,,
spell_apotheosis_alt_fire_cov_hardcore_desc,Right Click to cast a field of regenerative magic; Uncopyable.,"Щёлкните правой кнопкой мыши, чтобы создать поле восстанавливающей магии; Некопируемое.",,,,,,,(右键施放)再生魔法的领域; 无法被其他法术复制,右クリックすると気力の輪を発射する。文字呪文でコピーできない。,,,,
spell_apotheosis_alt_fire_targetter_name,Alt Fire Targetter,Целеуказатель (альт. огонь),,,,,,,副法术 - 众矢之的,ロックオン(ALT),,,,
spell_apotheosis_alt_fire_targetter_desc,Right Click to fire a projectile which causes irresistible hatred towards anything it hits,"Щёлкните правой кнопкой мыши, чтобы выпустить снаряд, который вызывает непреодолимую ненависть ко всему, во что попадает",,,,,,,(右键施放)将万千仇恨施加于目标的法术,右クリックするとロックオンが発射される。,,,,
spell_apotheosis_alt_fire_alpha_name,Alt Fire Alpha,Alt Fire Alpha,,,,,,,副法术 - 阿尔法,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_alt_fire_alpha_desc,Right Click to cast a copy of the first spell in your wand for 40 mana,Right Click to cast a copy of the first spell in your wand for 40 mana,,,,,,,(右键施放)消耗 40 魔力施放魔杖中第一个法术的复制品,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_critical_drunk_name,Critical on Drunk,Критический удар по пьяным,,,,,,,醉酒敌人暴击,酩酊クリティカル,,,,
spell_apotheosis_critical_drunk_desc,Make a projectile always do a critical hit on drunk enemies,Снаряд всегда наносит критический удар по пьяным врагам,,,,,,,令投射物对醉酒敌人始终暴击,酔っぱらった状態の敵に確定クリティカルが発生する。,,,,
spell_apotheosis_affluence_name,Affluence,Изобилие,,,,,,,财富,大富豪,,,,
spell_apotheosis_affluence_desc,Creatures hit by your projectiles drop extra gold,"Существа, поражённые вашими снарядами, роняют больше золота",,,,,,,被你的投射物击中的生物掉落额外的金块,放射物に当たった敵が追加でゴールドを落とす。,,,,
spell_apotheosis_liquidsphere_acid_name,Sphere of Acid,Сфера кислоты,,,,,,,酸液巨球,アシッドスフィア,,,,
spell_apotheosis_liquidsphere_acid_desc,"Cast a powerful sphere of acid, melting everything in its path","Создаёт мощную сферу кислоты, растворяющую всё на своём пути",,,,,,,施放一个强大的酸液巨球，溶解路径上的一切,触れたものを溶かす、強力な酸の玉を撃ち出す。,,,,
spell_apotheosis_liquidsphere_water_name,Sphere of Water,Сфера воды,,,,,,,清水巨球,ウォータースフィア,,,,
spell_apotheosis_liquidsphere_water_desc,"Cast an enduring sphere of water, soaking everything in its path","Создаёт прочную сферу воды, пропитывающую всё на своём пути",,,,,,,施放一个持久的清水巨球，淹没路径上的一切,触れたものをずぶ濡れにする、水の玉を撃ち出す。,,,,
spell_apotheosis_liquidsphere_teleportatium_name,Sphere of Teleportatium,Сфера телепортиума,,,,,,,传送魔药巨球,テレポートスフィア,,,,
spell_apotheosis_liquidsphere_teleportatium_desc,"Cast a malicious sphere of teleportatium, relocating everything in its path","Создаёт злобную сферу телепортиума, перемещающую всё на своём пути",,,,,,,施放一个恶意的传送魔药巨球，排除路径上的一切,触れたものをどこかへと転送する、テレポータチアムの輪を撃ち出す。,,,,
